id,git_filename,git_industry_category_key,git_pdf_template_type,git_pdf_language,git_permalink,git_date_updated,github_url,git_publishing_status,git_commit_author,git_commit_subject,git_download_url,git_type_document,git_commit_hash,git_commit_hash_abbreviated,git_repository,git_filepath,git_change_type
,COVID_immigrant_guidance--en.pdf,"pdf/COVID_immigrant_guidance",General-IG,English,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance--en.pdf,"2020-07-07 12:43:39 -0700",https://github.com/cagov/covid-static/blob/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--en.pdf,"Git-History",Oriel Gomez,"Add files via upload",https://github.com/cagov/covid-static/raw/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--en.pdf,PDF,"0b86b78f6aa82807f0400bab61b89b7679536280","0b86b78f",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance--en.pdf,Added,
,COVID_immigrant_guidance--es.pdf,"pdf/COVID_immigrant_guidance",General-IG,Spanish,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance--es.pdf,"2020-07-07 12:43:39 -0700",https://github.com/cagov/covid-static/blob/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--es.pdf,"Git-History",Oriel Gomez,"Add files via upload",https://github.com/cagov/covid-static/raw/0b86b78f6aa82807f0400bab61b89b7679536280/pdf/COVID_immigrant_guidance--es.pdf,PDF,"0b86b78f6aa82807f0400bab61b89b7679536280","0b86b78f",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance--es.pdf,Added,
,COVID_immigrant_guidance-ar.pdf,"pdf/COVID_immigrant_guidance",General-IG,Arabic,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,"2020-06-23 15:49:58 -0700",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,"Git-History",carterm,"Readding everything",https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ar.pdf,Added,
,COVID_immigrant_guidance-ar.pdf,"pdf/COVID_immigrant_guidance",General-IG,Arabic,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,"2020-06-12 14:37:59 -0700",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,"Git-History",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ar.pdf,Added,
,COVID_immigrant_guidance-ar.pdf,"pdf/COVID_immigrant_guidance",General-IG,Arabic,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,"2020-06-23 15:49:58 -0700",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,"Git-History",carterm,"Readding everything",https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ar.pdf,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ar.pdf,Added,
,COVID_immigrant_guidance-ar.pdf,"pdf/COVID_immigrant_guidance",General-IG,Arabic,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ar.pdf,"2020-06-12 14:37:59 -0700",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,"Git-History",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ar.pdf,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ar.pdf,Added,
,COVID_immigrant_guidance-ko.pdf,"pdf/COVID_immigrant_guidance",General-IG,Korean,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,"2020-06-23 15:49:58 -0700",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,"Git-History",carterm,"Readding everything",https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ko.pdf,Added,
,COVID_immigrant_guidance-ko.pdf,"pdf/COVID_immigrant_guidance",General-IG,Korean,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,"2020-06-12 14:37:59 -0700",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,"Git-History",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ko.pdf,Added,
,COVID_immigrant_guidance-ko.pdf,"pdf/COVID_immigrant_guidance",General-IG,Korean,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,"2020-06-23 15:49:58 -0700",https://github.com/cagov/covid-static/blob/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,"Git-History",carterm,"Readding everything",https://github.com/cagov/covid-static/raw/749f839924eec05ecef6f48306b28e74f4c7b565/pdf/COVID_immigrant_guidance-ko.pdf,PDF,"749f839924eec05ecef6f48306b28e74f4c7b565","749f8399",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ko.pdf,Added,
,COVID_immigrant_guidance-ko.pdf,"pdf/COVID_immigrant_guidance",General-IG,Korean,https://files.covid19.ca.gov/pdf/COVID_immigrant_guidance-ko.pdf,"2020-06-12 14:37:59 -0700",https://github.com/cagov/covid-static/blob/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,"Git-History",Aaron Hans,"add all the pdfs",https://github.com/cagov/covid-static/raw/07ba2f62f21b430b848fd827b739c3d257d665ff/pdf/COVID_immigrant_guidance-ko.pdf,PDF,"07ba2f62f21b430b848fd827b739c3d257d665ff","07ba2f62",https://github.com/cagov/covid-static/,pdf/COVID_immigrant_guidance-ko.pdf,Added,
