id,git_filename,git_industry_category_key,git_pdf_template_type,git_pdf_language,git_permalink,git_date_updated,github_url,git_publishing_status,git_commit_author,git_commit_subject,git_download_url,git_type_document,git_commit_hash,git_commit_hash_abbreviated,git_repository,git_filepath,git_change_type
,guidance-community-sporting-events--vi.pdf,"community-sporting-events",Guidance,Vietnamese,https://files.covid19.ca.gov/pdf/guidance-community-sporting-events--vi.pdf,"2021-05-07 18:32:15 -0700",https://github.com/cagov/covid-static/blob/fc088d15f270d3027fc097ad318ac85d0110998e/pdf/guidance-community-sporting-events--vi.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-community-sporting-events",https://github.com/cagov/covid-static/raw/fc088d15f270d3027fc097ad318ac85d0110998e/pdf/guidance-community-sporting-events--vi.pdf,PDF,"fc088d15f270d3027fc097ad318ac85d0110998e","fc088d15f",https://github.com/cagov/covid-static/,pdf/guidance-community-sporting-events--vi.pdf,Added,
,guidance-community-sporting-events--zh-hans.pdf,"community-sporting-events",Guidance,Chinese-Simplified,https://files.covid19.ca.gov/pdf/guidance-community-sporting-events--zh-hans.pdf,"2021-05-07 18:32:15 -0700",https://github.com/cagov/covid-static/blob/fc088d15f270d3027fc097ad318ac85d0110998e/pdf/guidance-community-sporting-events--zh-hans.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-community-sporting-events",https://github.com/cagov/covid-static/raw/fc088d15f270d3027fc097ad318ac85d0110998e/pdf/guidance-community-sporting-events--zh-hans.pdf,PDF,"fc088d15f270d3027fc097ad318ac85d0110998e","fc088d15f",https://github.com/cagov/covid-static/,pdf/guidance-community-sporting-events--zh-hans.pdf,Added,
,guidance-community-sporting-events--zh-hant.pdf,"community-sporting-events",Guidance,Chinese-Traditional,https://files.covid19.ca.gov/pdf/guidance-community-sporting-events--zh-hant.pdf,"2021-05-07 18:32:15 -0700",https://github.com/cagov/covid-static/blob/fc088d15f270d3027fc097ad318ac85d0110998e/pdf/guidance-community-sporting-events--zh-hant.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-community-sporting-events",https://github.com/cagov/covid-static/raw/fc088d15f270d3027fc097ad318ac85d0110998e/pdf/guidance-community-sporting-events--zh-hant.pdf,PDF,"fc088d15f270d3027fc097ad318ac85d0110998e","fc088d15f",https://github.com/cagov/covid-static/,pdf/guidance-community-sporting-events--zh-hant.pdf,Added,
,guidance-live-performances-th.pdf,"live-performances-th",Guidance,English,https://files.covid19.ca.gov/pdf/guidance-live-performances-th.pdf,"2021-04-19 12:58:34 -0700",https://github.com/cagov/covid-static/blob/ff14e203b3e4030959e3315c41653af6115c5e5f/pdf/guidance-live-performances-th.pdf,"Git-History",LizNobriga,"replacing-translated-guidance-outdoor-live-perform",https://github.com/cagov/covid-static/raw/ff14e203b3e4030959e3315c41653af6115c5e5f/pdf/guidance-live-performances-th.pdf,PDF,"ff14e203b3e4030959e3315c41653af6115c5e5f","ff14e203b",https://github.com/cagov/covid-static/,pdf/guidance-live-performances-th.pdf,Added,
,guidance-private-events--ar.pdf,"private-events",Guidance,Arabic,https://files.covid19.ca.gov/pdf/guidance-private-events--ar.pdf,"2021-04-23 18:06:58 -0700",https://github.com/cagov/covid-static/blob/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--ar.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-private-events",https://github.com/cagov/covid-static/raw/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--ar.pdf,PDF,"ce85f7f97ceb6c24038cbff70838d2c6f96e71f6","ce85f7f97",https://github.com/cagov/covid-static/,pdf/guidance-private-events--ar.pdf,Added,
,guidance-private-events--es.pdf,"private-events",Guidance,Spanish,https://files.covid19.ca.gov/pdf/guidance-private-events--es.pdf,"2021-04-23 18:06:58 -0700",https://github.com/cagov/covid-static/blob/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--es.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-private-events",https://github.com/cagov/covid-static/raw/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--es.pdf,PDF,"ce85f7f97ceb6c24038cbff70838d2c6f96e71f6","ce85f7f97",https://github.com/cagov/covid-static/,pdf/guidance-private-events--es.pdf,Added,
,guidance-private-events--hmn.pdf,"private-events",Guidance,Hmong,https://files.covid19.ca.gov/pdf/guidance-private-events--hmn.pdf,"2021-04-23 18:06:58 -0700",https://github.com/cagov/covid-static/blob/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--hmn.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-private-events",https://github.com/cagov/covid-static/raw/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--hmn.pdf,PDF,"ce85f7f97ceb6c24038cbff70838d2c6f96e71f6","ce85f7f97",https://github.com/cagov/covid-static/,pdf/guidance-private-events--hmn.pdf,Added,
,guidance-private-events--hy.pdf,"private-events",Guidance,Armenian,https://files.covid19.ca.gov/pdf/guidance-private-events--hy.pdf,"2021-04-23 18:06:58 -0700",https://github.com/cagov/covid-static/blob/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--hy.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-private-events",https://github.com/cagov/covid-static/raw/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--hy.pdf,PDF,"ce85f7f97ceb6c24038cbff70838d2c6f96e71f6","ce85f7f97",https://github.com/cagov/covid-static/,pdf/guidance-private-events--hy.pdf,Added,
,guidance-private-events--km.pdf,"private-events",Guidance,Khmer,https://files.covid19.ca.gov/pdf/guidance-private-events--km.pdf,"2021-04-23 18:06:58 -0700",https://github.com/cagov/covid-static/blob/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--km.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-private-events",https://github.com/cagov/covid-static/raw/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--km.pdf,PDF,"ce85f7f97ceb6c24038cbff70838d2c6f96e71f6","ce85f7f97",https://github.com/cagov/covid-static/,pdf/guidance-private-events--km.pdf,Added,
,guidance-private-events--ko.pdf,"private-events",Guidance,Korean,https://files.covid19.ca.gov/pdf/guidance-private-events--ko.pdf,"2021-04-23 18:06:58 -0700",https://github.com/cagov/covid-static/blob/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--ko.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-private-events",https://github.com/cagov/covid-static/raw/ce85f7f97ceb6c24038cbff70838d2c6f96e71f6/pdf/guidance-private-events--ko.pdf,PDF,"ce85f7f97ceb6c24038cbff70838d2c6f96e71f6","ce85f7f97",https://github.com/cagov/covid-static/,pdf/guidance-private-events--ko.pdf,Added,
