id,git_filename,git_industry_category_key,git_pdf_template_type,git_pdf_language,git_permalink,git_date_updated,github_url,git_publishing_status,git_commit_author,git_commit_subject,git_download_url,git_type_document,git_commit_hash,git_commit_hash_abbreviated,git_repository,git_filepath,git_change_type
,CDC-California-schools-guidance-crosswalk--en.pdf,"pdf/CDC-California-schools-guidance-crosswalk",Guidance,English,https://files.covid19.ca.gov/pdf/CDC-California-schools-guidance-crosswalk--en.pdf,"2021-02-16 13:16:26 -0800",https://github.com/cagov/covid-static/blob/8e0e0af7a929126439f69ac47bc4a1c6be48f9d7/pdf/CDC-California-schools-guidance-crosswalk--en.pdf,"Git-History",LizNobriga,"uploading-CDC-CA-schools-guidance-crosswalk",https://github.com/cagov/covid-static/raw/8e0e0af7a929126439f69ac47bc4a1c6be48f9d7/pdf/CDC-California-schools-guidance-crosswalk--en.pdf,PDF,"8e0e0af7a929126439f69ac47bc4a1c6be48f9d7","8e0e0af7a",https://github.com/cagov/covid-static/,pdf/CDC-California-schools-guidance-crosswalk--en.pdf,Added,
,guidance-limited-services--ar.pdf,"limited-services",Guidance,Arabic,https://files.covid19.ca.gov/pdf/guidance-limited-services--ar.pdf,"2021-02-09 15:00:05 -0800",https://github.com/cagov/covid-static/blob/fb1e2d8dcc65941de4332777b9860d94d6b277a5/pdf/guidance-limited-services--ar.pdf,"Git-History",LizNobriga,"uploading-guidance-limited-services-translated-ar",https://github.com/cagov/covid-static/raw/fb1e2d8dcc65941de4332777b9860d94d6b277a5/pdf/guidance-limited-services--ar.pdf,PDF,"fb1e2d8dcc65941de4332777b9860d94d6b277a5","fb1e2d8dc",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--ar.pdf,Added,
,guidance-limited-services--es.pdf,"limited-services",Guidance,Spanish,https://files.covid19.ca.gov/pdf/guidance-limited-services--es.pdf,"2021-02-12 14:33:32 -0800",https://github.com/cagov/covid-static/blob/32c28b537161f014754d5a7fb3e874463b314938/pdf/guidance-limited-services--es.pdf,"Git-History",ashleydraper,"uploading-limited-services-guidance-es",https://github.com/cagov/covid-static/raw/32c28b537161f014754d5a7fb3e874463b314938/pdf/guidance-limited-services--es.pdf,PDF,"32c28b537161f014754d5a7fb3e874463b314938","32c28b537",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--es.pdf,Added,
,guidance-limited-services--hmn.pdf,"limited-services",Guidance,Hmong,https://files.covid19.ca.gov/pdf/guidance-limited-services--hmn.pdf,"2021-02-11 16:17:43 -0800",https://github.com/cagov/covid-static/blob/d5a8f09d886e87bb5f799b09371e587fc9a8deee/pdf/guidance-limited-services--hmn.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-limited-services-1",https://github.com/cagov/covid-static/raw/d5a8f09d886e87bb5f799b09371e587fc9a8deee/pdf/guidance-limited-services--hmn.pdf,PDF,"d5a8f09d886e87bb5f799b09371e587fc9a8deee","d5a8f09d8",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--hmn.pdf,Added,
,guidance-limited-services--hy.pdf,"limited-services",Guidance,Armenian,https://files.covid19.ca.gov/pdf/guidance-limited-services--hy.pdf,"2021-02-11 09:06:37 -0800",https://github.com/cagov/covid-static/blob/32c63acd6b7bd47301ce9d1d5fb99ecda2b6e638/pdf/guidance-limited-services--hy.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-limited-services-2",https://github.com/cagov/covid-static/raw/32c63acd6b7bd47301ce9d1d5fb99ecda2b6e638/pdf/guidance-limited-services--hy.pdf,PDF,"32c63acd6b7bd47301ce9d1d5fb99ecda2b6e638","32c63acd6",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--hy.pdf,Added,
,guidance-limited-services--km.pdf,"limited-services",Guidance,Khmer,https://files.covid19.ca.gov/pdf/guidance-limited-services--km.pdf,"2021-02-12 15:39:46 -0800",https://github.com/cagov/covid-static/blob/26c877a073277cb55db48f5d0f3c724316d73d38/pdf/guidance-limited-services--km.pdf,"Git-History",Christian Crumlish,"uploading-translated-guidance-limited-services-km",https://github.com/cagov/covid-static/raw/26c877a073277cb55db48f5d0f3c724316d73d38/pdf/guidance-limited-services--km.pdf,PDF,"26c877a073277cb55db48f5d0f3c724316d73d38","26c877a07",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--km.pdf,Added,
,guidance-limited-services--ko.pdf,"limited-services",Guidance,Korean,https://files.covid19.ca.gov/pdf/guidance-limited-services--ko.pdf,"2021-02-12 17:06:28 -0800",https://github.com/cagov/covid-static/blob/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--ko.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-limited-services-5",https://github.com/cagov/covid-static/raw/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--ko.pdf,PDF,"07334d64a7eae5cff84d76f579643ce6aa19a46a","07334d64a",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--ko.pdf,Added,
,guidance-limited-services--pa.pdf,"limited-services",Guidance,Punjabi,https://files.covid19.ca.gov/pdf/guidance-limited-services--pa.pdf,"2021-02-12 17:06:28 -0800",https://github.com/cagov/covid-static/blob/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--pa.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-limited-services-5",https://github.com/cagov/covid-static/raw/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--pa.pdf,PDF,"07334d64a7eae5cff84d76f579643ce6aa19a46a","07334d64a",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--pa.pdf,Added,
,guidance-limited-services--ru.pdf,"limited-services",Guidance,Russian,https://files.covid19.ca.gov/pdf/guidance-limited-services--ru.pdf,"2021-02-12 17:06:28 -0800",https://github.com/cagov/covid-static/blob/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--ru.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-limited-services-5",https://github.com/cagov/covid-static/raw/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--ru.pdf,PDF,"07334d64a7eae5cff84d76f579643ce6aa19a46a","07334d64a",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--ru.pdf,Added,
,guidance-limited-services--th.pdf,"limited-services",Guidance,Thai,https://files.covid19.ca.gov/pdf/guidance-limited-services--th.pdf,"2021-02-12 17:06:28 -0800",https://github.com/cagov/covid-static/blob/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--th.pdf,"Git-History",LizNobriga,"uploading-translated-guidance-limited-services-5",https://github.com/cagov/covid-static/raw/07334d64a7eae5cff84d76f579643ce6aa19a46a/pdf/guidance-limited-services--th.pdf,PDF,"07334d64a7eae5cff84d76f579643ce6aa19a46a","07334d64a",https://github.com/cagov/covid-static/,pdf/guidance-limited-services--th.pdf,Added,
